Ticker,Categoria,Empresa,Nome_Curto,Tipo_Papel,Setor,Industria
MULT3,Ação,Multiplan Empreendimentos Imobiliários S.A.,MULTIPLAN   ON      N2,ON,Real Estate,Real Estate Services
NATU3,Ação,Natura Cosméticos S.A.,NATURA      ON      NM,ON,Consumer Defensive,Household & Personal Products
PETR3,Ação,Petróleo Brasileiro S.A. - Petrobras,PETROBRAS   ON      N2,ON,Energy,Oil & Gas Integrated
PETR4,Ação,Petróleo Brasileiro S.A. - Petrobras,PETROBRAS   PN      N2,PN,Energy,Oil & Gas Integrated
RECV3,Ação,Petroreconcavo S.A.,PETRORECSA  ON      NM,ON,Energy,Oil & Gas E&P
PRIO3,Ação,Prio S.A.,PETRORIO    ON      NM,ON,Energy,Oil & Gas E&P
PSSA3,Ação,Porto Seguro S.A.,PORTO SEGUROON      NM,ON,Financial Services,Insurance - Diversified
RADL3,Ação,Raia Drogasil S.A.,RAIADROGASILON      NM,ON,Healthcare,Pharmaceutical Retailers
RDOR3,Ação,Rede D'Or São Luiz S.A.,REDE D OR   ON      NM,ON,Healthcare,Medical Care Facilities
RAIL3,Ação,Rumo S.A.,RUMO S.A.   ON      NM,ON,Industrials,Railroads
SBSP3,Ação,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SABESP      ON      NM,ON,Utilities,Utilities - Regulated Water
SANB11,Ação,Banco Santander (Brasil) S.A.,SANTANDER BRUNT,UNT,Financial Services,Banks - Regional
CSNA3,Ação,Companhia Siderúrgica Nacional,SID NACIONALON,ON,Basic Materials,Steel
SLCE3,Ação,SLC Agrícola S.A.,SLC AGRICOLAON      NM,ON,Consumer Defensive,Farm Products
SMFT3,Ação,Smartfit Escola de Ginástica e Dança S.A.,SMART FIT   ON      NM,ON,Consumer Cyclical,Leisure
SUZB3,Ação,Suzano S.A.,SUZANO S.A. ON      NM,ON,Basic Materials,Paper & Paper Products
TAEE11,Ação,Transmissora Aliança de Energia Elétrica S.A.,TAESA       UNT     N2,UNT,Utilities,Utilities - Regulated Electric
VIVT3,Ação,Telefônica Brasil S.A.,TELEF BRASILON,ON,Communication Services,Telecom Services
TIMS3,Ação,TIM S.A.,TIM         ON      NM,ON,Communication Services,Telecom Services
TOTS3,Ação,TOTVS S.A.,TOTVS       ON      NM,ON,Technology,Software - Application
UGPA3,Ação,Ultrapar Participações S.A.,ULTRAPAR    ON      NM,ON,Energy,Oil & Gas Refining & Marketing
USIM5,Ação,Usinas Siderúrgicas de Minas Gerais S.A.,USIMINAS    PNA     N1,Outro,Basic Materials,Steel
VALE3,Ação,Vale S.A.,VALE        ON      NM,ON,Basic Materials,Other Industrial Metals & Mining
VAMO3,Ação,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",VAMOS       ON  ES  NM,ON,Industrials,Rental & Leasing Services
VBBR3,Ação,Vibra Energia S.A.,VIBRA       ON      NM,ON,Consumer Cyclical,Specialty Retail
VIVA3,Ação,Vivara Participações S.A.,VIVARA S.A. ON      NM,ON,Consumer Cyclical,Luxury Goods
WEGE3,Ação,WEG S.A.,WEG         ON      NM,ON,Industrials,Electrical Equipment & Parts
YDUQ3,Ação,Yduqs Participações S.A.,YDUQS PART  ON      NM,ON,Consumer Defensive,Education & Training Services
CACR11,Fundo,Supernova Fundo De Investimento Imobiliario - Recebiveis Imobiliarios,CARTESIA FIICI,FII,Real Estate,REIT - Diversified
AFHI11,Fundo,Af Invest Cri Fundo De Investimento Imobiliario - Recebiveis Imobiliarios,FII AFHI CRICI  ER,FII,Real Estate,REIT - Diversified
ALZR11,Fundo,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,FII ALIANZA CI  ER,FII,Real Estate,Real Estate Services
RZAT11,Fundo,Riza Arctium Real Estate Fundo De Investimento Imobiliario,FII ARCTIUM CI  ER,FII,Real Estate,REIT - Diversified
FATN11,Fundo,BRC Renda Corporativa FII - FII Athena I,FII ATHENA ICI,FII,Real Estate,REIT - Specialty
AZPL11,Fundo,FII AZPL    CI,FII AZPL    CI,FII,Real Estate,REIT - Industrial
BBIG11,Fundo,Bb Premium Malls Fundo De Investimento Imobiliário De Responsabilidade Limitada,FII BBIG    CI,FII,Real Estate,REIT - Retail
BRCR11,Fundo,Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund,FII BC FUND CI,FII,Real Estate,REIT - Office
BCIA11,Fundo,Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario,FII BCIA    CI,FII,Real Estate,REIT - Diversified
BCRI11,Fundo,Banestes Recebiveis Imobiliarios Fundo Investimento Imobiliario FII,FII BEES CRICI,FII,Real Estate,REIT - Diversified
BLMG11,Fundo,Bluemacaw Logastica Fundo De Investimento ImobiliaRio,FII BLUE LOGCI,FII,Real Estate,REIT - Industrial
BRCO11,Fundo,Bresco - Fundo De Investimento Imobiliario,FII BRESCO  CI,FII,Real Estate,REIT - Industrial
BROF11,Fundo,Brpr Corporate Offices Fundo De Investimento Imobiliario,FII BROF    CI  ER,FII,Real Estate,REIT - Diversified
BTAL11,Fundo,FII Btg Pactual Agro Logistica,FII BTG AGROCI  ER,FII,Real Estate,REIT - Industrial
BTCI11,Fundo,Fundo Infestimento Imobiliario Btg Pactual Credito Imobiliario,FII BTG CRI CI,FII,Financial Services,Asset Management
BPML11,Fundo,Fundo De Investimento Imobiliario BTG Pactual Shoppings,FII BTG SHOPCI  ER,FII,Real Estate,REIT - Retail
BTHF11,Fundo,Btg Pactual Real Estate Hedge Fund Fii Fundo De Investimento Imobiliario,FII BTHF    CI,FII,Real Estate,REIT - Diversified
BTLG11,Fundo,BTG Pactual Logística Fundo de Investimento Imobiliário,FII BTLG    CI  ER,FII,Real Estate,REIT - Industrial
CCME11,Fundo,Canuma Capital Multiestrategia Fundo De Investimento Imobiliario,FII CANUMA  CI,FII,Real Estate,REIT - Diversified
CPTS11,Fundo,Capitania Securities II Fundo Investimento Imobiliario FII,FII CAPI SECCI  ER,FII,Real Estate,REIT - Diversified
ICRI11,Fundo,FII CI IPCA CI,FII CI IPCA CI,FII,Real Estate,REIT - Diversified
CLIN11,Fundo,Clave Indices De Precos Fundo De Investimento Imobiliario,FII CLAVE INCI,FII,Real Estate,REIT - Diversified
CPSH11,Fundo,Capitania Shoppings Fundo De Investimento Imobiliario,FII CPSH    CI  ER,FII,Real Estate,REIT - Retail
CYCR11,Fundo,Cyrela Credito - Fundo De Investimento Imobiliario,FII CYRELA  CI,FII,Real Estate,REIT - Diversified
DEVA11,Fundo,Devant Recebiveis Imobiliarios Fundo De Investimento Imobiliario,FII DEVANT  CI,FII,Real Estate,REIT - Diversified
VRTA11,Fundo,Fator Veritá Fundo de Investimento Imobiliário - FII,FII FATOR VECI,FII,Real Estate,REIT - Diversified
GTWR11,Fundo,Fundo Investimento Imobiliario Green Towers,FII G TOWERSCI,FII,Real Estate,REIT - Office
GZIT11,Fundo,Gazit Malls Fundo De Investimento Imobiliario,FII GAZIT   CI,FII,Real Estate,REIT - Specialty
GGRC11,Fundo,Ggr Covipe Renda Fundo Investimento Imobiliario,FII GGRCOVEPCI,FII,Real Estate,REIT - Industrial
GRUL11,Fundo,Icatu Vanguarda Gru Logistico Fundo De Investimento Imobiliario Responsabilidade Limitada,FII GRUL    CI,FII,Real Estate,REIT - Diversified
GARE11,Fundo,Guardian Logistica Fundo De Investimento Imobiliario,FII GUARDIANCI,FII,Real Estate,REIT - Specialty
HABT11,Fundo,Habitat Ii - Fundo De Investimento Imobiliario,FII HABIT IICI,FII,Financial Services,Asset Management
HCTR11,Fundo,Fundo De Investimento Imobiliario Hectare Ce,FII HECTARE CI,FII,Financial Services,Asset Management
HGBS11,Fundo,HEDGE Brasil Shopping Fundo de Investimento Imobiliário,FII HEDGEBS CI  ES,FII,Real Estate,REIT - Retail
HGCR11,Fundo,CSHG Recebiveis Imobiliarios BC Fundo de Investimento Imobiliario - FII,FII HGCR PAXCI,FII,Real Estate,REIT - Diversified
